"V1","V2","V3","V4","V5"
5.1,3.5,1.4,0.2,1
4.9,3,1.4,0.2,1
4.7,3.2,1.3,0.2,1
4.6,3.1,1.5,0.2,1
5,3.6,1.4,0.2,1
5.4,3.9,1.7,0.4,1
4.6,3.4,1.4,0.3,1
5,3.4,1.5,0.2,1
4.4,2.9,1.4,0.2,1
4.9,3.1,1.5,0.1,1
5.4,3.7,1.5,0.2,1
4.8,3.4,1.6,0.2,1
4.8,3,1.4,0.1,1
4.3,3,1.1,0.1,1
5.8,4,1.2,0.2,1
5.7,4.4,1.5,0.4,1
5.4,3.9,1.3,0.4,1
5.1,3.5,1.4,0.3,1
5.7,3.8,1.7,0.3,1
5.1,3.8,1.5,0.3,1
5.4,3.4,1.7,0.2,1
5.1,3.7,1.5,0.4,1
4.6,3.6,1,0.2,1
5.1,3.3,1.7,0.5,1
4.8,3.4,1.9,0.2,1
5,3,1.6,0.2,1
5,3.4,1.6,0.4,1
5.2,3.5,1.5,0.2,1
5.2,3.4,1.4,0.2,1
4.7,3.2,1.6,0.2,1
4.8,3.1,1.6,0.2,1
5.4,3.4,1.5,0.4,1
5.2,4.1,1.5,0.1,1
5.5,4.2,1.4,0.2,1
4.9,3.1,1.5,0.2,1
5,3.2,1.2,0.2,1
5.5,3.5,1.3,0.2,1
4.9,3.6,1.4,0.1,1
4.4,3,1.3,0.2,1
5.1,3.4,1.5,0.2,1
5,3.5,1.3,0.3,1
4.5,2.3,1.3,0.3,1
4.4,3.2,1.3,0.2,1
5,3.5,1.6,0.6,1
5.1,3.8,1.9,0.4,1
4.8,3,1.4,0.3,1
5.1,3.8,1.6,0.2,1
4.6,3.2,1.4,0.2,1
5.3,3.7,1.5,0.2,1
5,3.3,1.4,0.2,1
7,3.2,4.7,1.4,2
6.4,3.2,4.5,1.5,2
6.9,3.1,4.9,1.5,2
5.5,2.3,4,1.3,2
6.5,2.8,4.6,1.5,2
5.7,2.8,4.5,1.3,2
6.3,3.3,4.7,1.6,2
4.9,2.4,3.3,1,2
6.6,2.9,4.6,1.3,2
5.2,2.7,3.9,1.4,2
5,2,3.5,1,2
5.9,3,4.2,1.5,2
6,2.2,4,1,2
6.1,2.9,4.7,1.4,2
5.6,2.9,3.6,1.3,2
6.7,3.1,4.4,1.4,2
5.6,3,4.5,1.5,2
5.8,2.7,4.1,1,2
6.2,2.2,4.5,1.5,2
5.6,2.5,3.9,1.1,2
5.9,3.2,4.8,1.8,2
6.1,2.8,4,1.3,2
6.3,2.5,4.9,1.5,2
6.1,2.8,4.7,1.2,2
6.4,2.9,4.3,1.3,2
6.6,3,4.4,1.4,2
6.8,2.8,4.8,1.4,2
6.7,3,5,1.7,2
6,2.9,4.5,1.5,2
5.7,2.6,3.5,1,2
5.5,2.4,3.8,1.1,2
5.5,2.4,3.7,1,2
5.8,2.7,3.9,1.2,2
6,2.7,5.1,1.6,2
5.4,3,4.5,1.5,2
6,3.4,4.5,1.6,2
6.7,3.1,4.7,1.5,2
6.3,2.3,4.4,1.3,2
5.6,3,4.1,1.3,2
5.5,2.5,4,1.3,2
5.5,2.6,4.4,1.2,2
6.1,3,4.6,1.4,2
5.8,2.6,4,1.2,2
5,2.3,3.3,1,2
5.6,2.7,4.2,1.3,2
5.7,3,4.2,1.2,2
5.7,2.9,4.2,1.3,2
6.2,2.9,4.3,1.3,2
5.1,2.5,3,1.1,2
5.7,2.8,4.1,1.3,2
6.3,3.3,6,2.5,3
5.8,2.7,5.1,1.9,3
7.1,3,5.9,2.1,3
6.3,2.9,5.6,1.8,3
6.5,3,5.8,2.2,3
7.6,3,6.6,2.1,3
4.9,2.5,4.5,1.7,3
7.3,2.9,6.3,1.8,3
6.7,2.5,5.8,1.8,3
7.2,3.6,6.1,2.5,3
6.5,3.2,5.1,2,3
6.4,2.7,5.3,1.9,3
6.8,3,5.5,2.1,3
5.7,2.5,5,2,3
5.8,2.8,5.1,2.4,3
6.4,3.2,5.3,2.3,3
6.5,3,5.5,1.8,3
7.7,3.8,6.7,2.2,3
7.7,2.6,6.9,2.3,3
6,2.2,5,1.5,3
6.9,3.2,5.7,2.3,3
5.6,2.8,4.9,2,3
7.7,2.8,6.7,2,3
6.3,2.7,4.9,1.8,3
6.7,3.3,5.7,2.1,3
7.2,3.2,6,1.8,3
6.2,2.8,4.8,1.8,3
6.1,3,4.9,1.8,3
6.4,2.8,5.6,2.1,3
7.2,3,5.8,1.6,3
7.4,2.8,6.1,1.9,3
7.9,3.8,6.4,2,3
6.4,2.8,5.6,2.2,3
6.3,2.8,5.1,1.5,3
6.1,2.6,5.6,1.4,3
7.7,3,6.1,2.3,3
6.3,3.4,5.6,2.4,3
6.4,3.1,5.5,1.8,3
6,3,4.8,1.8,3
6.9,3.1,5.4,2.1,3
6.7,3.1,5.6,2.4,3
6.9,3.1,5.1,2.3,3
5.8,2.7,5.1,1.9,3
6.8,3.2,5.9,2.3,3
6.7,3.3,5.7,2.5,3
6.7,3,5.2,2.3,3
6.3,2.5,5,1.9,3
6.5,3,5.2,2,3
6.2,3.4,5.4,2.3,3
5.9,3,5.1,1.8,3
5.19,4.06,1.5,0.13,1
5.49,3.49,1.32,0.22,1
4.99,3.4,1.5,0.2,1
4.4,2.9,1.4,0.2,1
5.13,3.79,1.5,0.29,1
5.48,4.14,1.38,0.24,1
5.08,3.32,1.68,0.48,1
4.98,3.52,1.32,0.25,1
4.63,3.13,1.53,0.2,1
4.61,3.4,1.41,0.3,1
4.9,3.08,1.48,0.2,1
5.2,3.4,1.4,0.2,1
5.02,3.5,1.32,0.3,1
5.4,3.4,1.6,0.3,1
4.92,3,1.45,0.2,1
5.1,3.5,1.4,0.2,1
4.32,3.04,1.14,0.12,1
4.75,3.15,1.6,0.2,1
4.84,3.2,1.25,0.2,1
5.48,3.87,1.7,0.37,1
5.26,4.12,1.48,0.12,1
4.87,3.1,1.53,0.13,1
5.06,3.4,1.5,0.2,1
5.45,3.72,1.53,0.22,1
5.01,3.48,1.61,0.59,1
5.71,4.37,1.48,0.38,1
4.62,3.12,1.46,0.2,1
4.6,3.6,1,0.2,1
4.82,3.02,1.42,0.1,1
4.8,3.4,1.7,0.2,1
4.6,3.19,1.41,0.2,1
5.1,3.68,1.49,0.39,1
5.1,3.42,1.48,0.2,1
4.9,3.1,1.5,0.16,1
5.44,3.61,1.41,0.2,1
5.64,3.96,1.24,0.28,1
5.24,3.48,1.54,0.2,1
4.4,2.95,1.35,0.2,1
5.1,3.41,1.49,0.2,1
5.2,3.41,1.41,0.2,1
4.75,3.38,1.6,0.2,1
5.03,3.54,1.4,0.24,1
5.16,3.43,1.5,0.2,1
5.08,3.4,1.5,0.2,1
5.33,3.7,1.5,0.2,1
4.62,3.2,1.31,0.2,1
4.6,3.17,1.43,0.2,1
4.99,3.01,1.59,0.2,1
4.82,3,1.4,0.17,1
4.6,3.58,1.37,0.27,1
4.7,3.37,1.37,0.26,1
5.44,4.09,1.32,0.32,1
4.84,3.1,1.57,0.15,1
5.57,4.26,1.45,0.28,1
5.5,3.96,1.24,0.22,1
5.1,3.5,1.4,0.29,1
5.47,3.88,1.7,0.37,1
4.4,2.92,1.38,0.2,1
4.93,3.17,1.39,0.2,1
4.83,3,1.4,0.17,1
5.1,3.72,1.53,0.4,1
5.41,3.48,1.48,0.36,1
5.07,3.45,1.68,0.51,1
5,3.4,1.56,0.24,1
5.11,3.95,1.5,0.29,1
5.1,3.5,1.4,0.2,1
4.79,3.39,1.77,0.2,1
4.62,3.13,1.54,0.2,1
4.4,2.98,1.34,0.2,1
5.13,3.44,1.4,0.2,1
5.76,4.19,1.42,0.35,1
4.8,3.1,1.55,0.11,1
5.01,3.4,1.5,0.2,1
5.45,3.9,1.7,0.34,1
4.98,3.5,1.4,0.17,1
4.32,3.06,1.24,0.15,1
5.4,3.4,1.63,0.39,1
5.4,3.4,1.41,0.25,1
5.1,3.8,1.58,0.22,1
4.9,3.1,1.5,0.19,1
5.02,3.4,1.65,0.59,1
5.41,4,1.3,0.24,1
5,3.44,1.6,0.56,1
5.1,3.5,1.4,0.24,1
4.97,3.6,1.4,0.17,1
5,3.24,1.21,0.2,1
4.75,3.34,1.6,0.2,1
4.82,3,1.4,0.19,1
4.62,3.26,1.35,0.3,1
5.16,3.4,1.46,0.2,1
5.34,3.41,1.6,0.2,1
5.27,3.4,1.5,0.29,1
4.93,3.52,1.31,0.22,1
5.1,3.69,1.46,0.34,1
5.46,4.02,1.31,0.39,1
4.41,2.98,1.47,0.2,1
5.12,3.97,1.6,0.2,1
4.9,3.08,1.42,0.2,1
5.44,3.49,1.48,0.29,1
4.83,3.1,1.53,0.19,1
5.4,3.84,1.48,0.23,1
5.77,4.07,1.32,0.29,1
4.37,3.18,1.24,0.1,1
5.09,3.5,1.37,0.3,1
4.64,3.39,1.2,0.2,1
5.43,3.88,1.7,0.37,1
4.6,3.19,1.4,0.2,1
5.1,3.43,1.46,0.2,1
4.98,3.4,1.84,0.25,1
5.41,3.74,1.56,0.23,1
4.67,3.31,1.32,0.23,1
5.12,3.43,1.5,0.2,1
4.9,3.1,1.51,0.17,1
5.35,3.7,1.5,0.2,1
4.82,3.4,1.53,0.2,1
5.03,3.4,1.5,0.2,1
5.1,3.8,1.51,0.26,1
4.86,3,1.4,0.2,1
4.98,3.08,1.58,0.16,1
4.32,3,1.26,0.16,1
4.93,2.33,3.3,1,2
5.8,2.62,4.02,1.12,2
5.68,2.5,3.6,1.01,2
5.63,2.89,4.5,1.35,2
6.92,3.11,4.7,1.44,2
6.9,2.82,4.85,1.46,2
6.77,2.85,4.93,1.53,2
6.6,2.83,4.6,1.31,2
6.06,2.9,4.67,1.44,2
5.69,2.88,3.78,1.3,2
6.25,2.68,4.79,1.49,2
5.58,2.5,4,1.27,2
5.97,3.25,4.51,1.68,2
6.38,2.9,4.3,1.3,2
5.52,2.7,4.2,1.39,2
5.98,2.42,3.94,1.05,2
6.08,2.73,4.92,1.3,2
4.9,2.28,3.44,1,2
5.59,2.97,4.47,1.33,2
6.09,2.86,4.64,1.45,2
6.7,3.1,4.5,1.41,2
6.35,3.21,4.59,1.6,2
6.81,3.06,4.98,1.57,2
5.84,2.73,4,1.2,2
5.5,2.33,3.95,1.15,2
5.5,2.46,4,1.3,2
5.65,2.92,4.39,1.49,2
6.79,3.1,4.71,1.5,2
5.52,2.45,3.85,1.1,2
5.64,2.81,4.1,1.3,2
6.08,2.9,4.69,1.45,2
5.8,2.67,3.94,1.2,2
5.86,2.97,4.2,1.41,2
6.19,3.24,4.5,1.56,2
6.29,2.26,4.5,1.49,2
6.59,2.9,4.6,1.37,2
5.54,2.4,3.71,1.01,2
6.57,2.93,4.34,1.36,2
6.69,3.17,4.49,1.43,2
6.03,2.24,4.17,1.04,2
6.52,3.2,4.43,1.48,2
5.65,2.74,4.46,1.26,2
6.68,3.06,4.42,1.37,2
5.5,2.4,3.72,1.02,2
5.8,2.97,4.2,1.34,2
6.1,2.55,4.99,1.54,2
5.87,2.6,4,1.25,2
6.78,3.01,5,1.69,2
5.49,3,4.5,1.5,2
5.57,2.41,3.97,1.13,2
5.64,2.89,4.1,1.3,2
5.53,2.56,3.69,1,2
5.66,2.53,3.86,1.02,2
5.31,2.7,3.92,1.34,2
6.27,3.15,4.6,1.53,2
6.57,2.88,4.6,1.44,2
5.8,2.76,4.1,1.07,2
6.05,2.24,4.08,1.2,2
5.67,2.29,3.96,1.09,2
6.44,2.9,4.5,1.3,2
5.54,2.5,3.91,1.26,2
6.04,2.81,4.82,1.45,2
6.09,2.85,4.6,1.23,2
6.66,2.94,4.69,1.38,2
4.92,2.08,3.44,1,2
6,2.9,4.65,1.47,2
6.52,2.94,4.3,1.34,2
6.06,2.9,4.54,1.46,2
5.57,2.5,3.9,1.17,2
6.56,2.86,4.6,1.35,2
6.77,3.09,4.75,1.4,2
6.7,3.09,4.9,1.65,2
5.92,3.28,4.73,1.62,2
6.26,2.22,4.44,1.38,2
5.94,3.25,4.75,1.69,2
5.8,2.7,3.94,1.11,2
4.93,2.48,3.19,1.09,2
6.81,3.15,4.5,1.4,2
5.56,3,4.5,1.5,2
5.62,2.72,3.64,1.27,2
5.94,3.28,4.71,1.61,2
6.18,2.83,4.25,1.3,2
6.1,2.81,4.7,1.4,2
6.69,2.8,4.61,1.49,2
5.5,2.4,3.71,1.09,2
6.77,2.9,4.93,1.5,2
5.6,2.99,4.5,1.39,2
6.65,2.86,4.71,1.37,2
5.5,2.36,3.99,1.15,2
5.63,3,4.11,1.27,2
6.52,2.85,4.6,1.46,2
5.24,2.7,4.15,1.31,2
5.53,2.41,3.85,1.1,2
4.93,2.36,3.3,1,2
5.5,2.33,3.98,1.18,2
5.9,2.97,4.2,1.33,2
6.44,3.12,4.42,1.41,2
5.97,3.26,4.74,1.76,2
5.57,2.5,4,1.24,2
5.79,2.75,3.97,1.27,2
6.69,3.05,4.4,1.4,2
5.43,2.85,4.5,1.33,2
5.6,2.91,4.04,1.3,2
5.62,2.4,3.62,1.04,2
6.33,3.21,4.65,1.57,2
5.61,2.91,4.48,1.41,2
6.07,2.96,4.59,1.44,2
6.7,3.1,4.62,1.41,2
6.24,2.27,4.46,1.46,2
5.79,2.78,4.1,1.04,2
6.43,2.9,4.38,1.38,2
6.87,3.1,4.79,1.5,2
6.61,2.93,4.58,1.31,2
6.99,3.17,4.7,1.44,2
6.1,2.87,4.7,1.23,2
6.27,2.26,4.46,1.48,2
6,2.75,4.72,1.47,2
6.22,2.68,4.99,1.58,2
4.91,2.29,3.36,1,2
5.87,2.47,4.07,1,2
5.72,2.32,5,1.62,3
5.91,3,5.05,1.8,3
6.4,2.93,5.57,1.8,3
6.34,2.82,5.6,1.83,3
6.3,3.31,5.61,2.45,3
6.73,3.09,5.2,2.28,3
7.7,2.66,6.7,2.11,3
5.7,2.77,5.09,1.9,3
6.81,3.24,5.7,2.26,3
6.19,2.97,5,1.67,3
6.64,2.52,5.66,1.8,3
7.19,3.17,6,1.93,3
4.92,2.52,5.07,1.9,3
5.71,2.65,5.02,1.98,3
6.66,3.3,5.89,2.5,3
6.91,3.26,5.99,2.36,3
5.8,2.77,5.1,2.36,3
6.39,2.84,5.6,2.01,3
6.21,2.76,4.88,1.8,3
6.47,3.05,5.42,1.91,3
6.89,3.16,5.69,2.14,3
6.13,2.96,4.86,1.8,3
7.08,3.08,5.74,2.15,3
7.47,3,6.05,2.15,3
6.8,3.18,5.65,2.1,3
7.7,2.64,6.79,2.19,3
7.36,2.96,6,1.62,3
6.17,2.79,5.6,1.61,3
6.42,3.05,5.26,2.3,3
6.41,2.95,5.73,2.11,3
6.6,3,5.79,2.23,3
6.46,2.84,5.26,1.97,3
7.88,3.8,6.64,2.1,3
5.91,3,4.87,1.8,3
7.33,3.1,6.09,1.84,3
6.5,3.07,5.11,2,3
7.31,2.93,6.52,1.99,3
7.48,2.91,6.59,1.85,3
7.74,3.52,6.38,2.21,3
5.76,2.62,5.08,1.98,3
5.63,2.8,5.04,2.4,3
6.45,2.97,5.74,2.2,3
7.2,3.08,6.06,1.8,3
7.69,2.91,6.1,2.11,3
6.04,3,4.88,1.8,3
7.61,2.9,6.68,2.11,3
6.81,3.28,5.7,2.15,3
6.81,3.08,5.34,2.12,3
6.33,3.36,5.35,2.3,3
7.34,2.83,6.17,1.84,3
6.23,2.87,5.6,1.52,3
6.15,2.34,4.95,1.67,3
6.43,3.05,5.5,1.8,3
6.87,3.44,6.09,2.42,3
5.19,2.57,4.62,1.85,3
7.05,3.06,5.9,2.13,3
6.33,2.87,5.6,2.03,3
6.57,2.91,5.56,1.8,3
6.9,3.15,5.67,2.24,3
6.2,2.96,4.9,1.8,3
6.34,2.92,5.53,1.8,3
7.66,3.34,6.59,2.09,3
6.3,2.77,5.09,1.73,3
6.22,3.4,5.51,2.32,3
6.7,3.07,5.17,2.28,3
6.14,2.87,4.86,1.8,3
5.75,2.55,5.06,1.91,3
7.81,3.8,6.47,2.15,3
6.17,2.85,4.9,1.8,3
7.13,3,5.84,2.05,3
6.44,2.95,5.2,1.99,3
5.68,2.75,4.99,2,3
7.45,2.95,6.34,1.9,3
6.88,3.29,5.7,2.29,3
6.47,2.85,5.72,2.2,3
6.39,2.99,5.57,1.8,3
5.75,2.58,5.09,1.97,3
7.5,2.86,6.61,1.87,3
6.42,3.16,5.95,2.42,3
7.2,3.15,5.94,1.67,3
7.57,3,5.92,2.25,3
6.03,2.83,4.8,1.8,3
6.5,3.13,5.16,2,3
6.52,2.74,5.75,1.8,3
6.26,2.39,5,1.86,3
5.8,2.7,5.1,1.9,3
7.33,2.87,6.19,1.84,3
5.74,2.68,5.02,1.96,3
6.85,3.08,5.41,2.1,3
6.26,3.38,5.39,2.3,3
7.69,2.96,6.61,2.05,3
7.76,3.47,6.21,2.06,3
6.76,3.2,5.63,2.1,3
5.8,2.72,5.1,1.98,3
6.21,2.74,5.12,1.45,3
7.11,3.03,5.98,1.85,3
7.1,3.31,5.82,2.5,3
6.3,3.34,5.67,2.45,3
5.7,2.75,4.94,1.94,3
6.05,2.97,4.8,1.8,3
6.4,2.8,5.6,2.18,3
6.86,3.06,5.44,2.1,3
6.3,2.98,5.54,1.8,3
6.4,2.83,5.28,1.99,3
6.21,2.76,4.81,1.8,3
6.91,3.02,5.9,2.18,3
6.35,2.92,5.53,1.8,3
7.7,2.67,6.82,2.27,3
7.63,3.26,6.68,2.19,3
7.62,2.86,6.7,2.27,3
6.8,3.17,5.62,2.34,3
6.47,2.99,5.7,2.19,3
6.34,3.25,5.96,2.29,3
5.55,2.5,4.84,1.89,3
7.14,3,5.86,1.68,3
7.31,2.88,6.11,1.8,3
6.41,3.08,5.28,1.81,3
6.3,2.91,4.93,1.77,3
6.48,2.83,5.61,2.18,3
6.05,3,4.89,1.8,3
